layer_id*,part_name*,part_id*,part_description,purchase_url,nomenclature,mfr_code,nsn_number,quantity
Hex Head Cap Screw,Hex Head Cap Screw,1,"1/4-20 UNC x 3” L., Gr. 8.",,,,,4
2oring,O-Ring,2,M83248/1-117 (VITON),,,M83248/1-117,9Z5330-00-166-1071,2
Adjusting Screw,Adjusting Screw,3,316 S.S.T.,,,M17-47728,9C4820-01-153-1401,1
Jam Nut,Jam Nut,4,"5/16-24 UNC, 316 SST",,,333-13011,,1
Guide,Guide,5,Guide,,,035-70545,9C4820-01-136-7706,1
6oring,O-Ring,6,M83248/2-910 (VITON),,,M83248/2-910,,1
Piston,Piston,7,Piston,,,036-21767,9C4820-00-835-4423,2
8oring,O-Ring,8,M83248/1-012 (VITON),,,M83248/1-012,9Z5330-00-166-0989,2
9Spring,Compression Spring,9,Compression Spring,,,036-13245,9Z5360-00-536-6441,1
10Cone,Cone,10,Cone,,,036-12288,9C4810-00-457-1744,2
11Seat,Seat,11,Seat,,,035-70508,9C4820-01-136-7752,1
12oring,O-Ring,12,M83248/2-903 (VITON),,,M83248/2-903,,1
Pilot Stage Valve Body,Pilot Stage Valve Body,13,Pilot Stage Valve Body,,,037-72783,9C3020-01-149-3251,1
14orgin,O-Ring,14,"VITON, 022-19359",,,,,1
15oring,O-Ring,15,M83248/1-110 (VITON),,,M83248/1-110,9Z5330-00-166-1058,1
16spring,Spring,16,Spring,,,035-22235,9Z5360-00-834-8583,1
Spool,Spool,17,Spool,,,036-38466,9C4320-01-151-3542,1
Sleeve,Sleeve,18,Sleeve,,,036-38464,9C4320-01-151-3543,1
19oring,O-Ring,19,"VITON, 018-19359",,,,,2
Pipe Plug,Pipe Plug,20,3/8-NPTF,,,,,1
Main Stage Valve Body,Main Stage Valve Body,21,Main Stage Valve Body,,,037-72784,9C4320-01-149-0967,1
