layer_id*,part_name*,part_id*,part_description,purchase_url,nomenclature,mfr_code,nsn_number,quantity
1_TubingSeamless,"TUBING, SEAMLESS 316SST 1 1/4 X 0.095 WALL",1,"TUBING, SEAMLESS 316SST 1 1/4 X 0.095 WALL",,,9F512,,
2_TubingSeamless,"TUBING, SEAMLESS 316SST 3/4 X 0.065 WALL",2,"TUBING, SEAMLESS 316SST 3/4 X 0.065 WALL",,,9F512,,
3_ElbowMaleTube,"ELBOW, MALE, TUBE TO STRAIGHT THD",3,"ELBOW, MALE, TUBE TO STRAIGHT THD",,,99565,,1
4_O-Ring,"O-RING, MIL-R-83248",4,"O-RING, MIL-R-83248",,,81349,,1
5_O-Ring,"O-RING, MIL-R-83248",5,"O-RING, MIL-R-83248",,,81349,,1
6_ConnectorMaleTube,"CONNECTOR, MALE TUBE TO MALE STR THD (SEE FIGURE 7-23 FOR RESERVOIR CONN)",6,"CONNECTOR, MALE TUBE TO MALE STR THD (SEE FIGURE 7-23 FOR RESERVOIR CONN)",,,99565,,2
7_O-Ring,"O-RING, MIL-R-83248",7,"O-RING, MIL-R-83248",,,81349,,2
8_O-Ring,"O-RING, MIL-R-83248",8,"O-RING, MIL-R-83248",,,81349,,1
9_ScrewHex,"SCREW, HEX HD CAP 316SST 1/2-13 UNC X 1 1/4 IN. L",9,"SCREW, HEX HD CAP 316SST 1/2-13 UNC X 1 1/4 IN. L",,,9F512,,2
10_Pump,"PUMP, RPLNG PRESSURE",10,"PUMP, RPLNG PRESSURE",,,9F512,,1
11_SetScrew,"SETSCREW, 501 NO. 6 X 3/8 IN.",11,"SETSCREW, 501 NO. 6 X 3/8 IN.",,,50380,,1
12_CouplingHalf,"COUPLING HALF, SINTERED IRON, 3/4 IN BORE W/SETSCREW",12,"COUPLING HALF, SINTERED IRON, 3/4 IN BORE W/SETSCREW",,,75665,,1
12A_CouplingHalf,"COUPLING HALF, SINTERED IRON, 7/8 IN BORE W/SETSCREW",12A,"COUPLING HALF, SINTERED IRON, 7/8 IN BORE W/SETSCREW",,,75665,,1
12B_SpiderUrethane,SPIDER URETHANE,12B,SPIDER URETHANE,,,75665,,1
13_KeyShaft,"KEY, SHAFT",13,"KEY, SHAFT",,,9F512,,1
14_ScrewHex1,"SCREW, HEX HD CAP 316SST 3/8-16 UNC X 3 1/2 IN. L",14,"SCREW, HEX HD CAP 316SST 3/8-16 UNC X 3 1/2 IN. L",,,9F512,,4
15_Cover,"COVER, RPLNG CHECK VALVE",15,"COVER, RPLNG CHECK VALVE",,,9F512,,1
16_PlugPipe,"PLUG, PIPE 1/16-NPTF",16,"PLUG, PIPE 1/16-NPTF",,,9F512,,1
17_O-Ring,"O-RING, MIL-R-83248",17,"O-RING, MIL-R-83248",,,81349,,1
18_O-Ring,"O-RING, VITON",18,"O-RING, VITON",,,86579,,1
19_Spring,SPRING,19,SPRING,,,9F512,,1
20_Spool,SPOOL,20,SPOOL,,,9F512,,1
21_Sleeve,SLEEVE,21,SLEEVE,,,9F512,,1
22_O-Ring,"O-RING, VITON",22,"O-RING, VITON",,,86579,,2
23_TubeStuffing,"TUBE, STUFFING",23,"TUBE, STUFFING",,,81349,,1
24_ElbowPuller,"ELBOW, PULLER",24,"ELBOW, PULLER",,,3743,,1
25_SwitchPressure,"SWITCH, PRESSURE, WITH 80 PSI CRITICAL POINT",25,"SWITCH, PRESSURE, WITH 80 PSI CRITICAL POINT",,,24038,,1
26_Snubber,"SNUBBER, VARI DAMP MID WEST INSTRUMENT CO.",26,"SNUBBER, VARI DAMP MID WEST INSTRUMENT CO.",,,,,1
27_ElbowStreet,"ELBOW, STREET 1/4-NPTF",27,"ELBOW, STREET 1/4-NPTF",,,,,1
28_Connection,"CONNECTION, RPLNG PRESS.",28,"CONNECTION, RPLNG PRESS.",,,9F512,,1
29_ScrewSch,"SCREW, SCH CAP 316SST 5/16-16 UNC X 1 1/4 IN. L",29,"SCREW, SCH CAP 316SST 5/16-16 UNC X 1 1/4 IN. L",,,9F512,,4
30_SubPlate,"SUB PLATE, RPLNG PRESSURE CONNECTION",30,"SUB PLATE, RPLNG PRESSURE CONNECTION",,,9F512,,1
31_O-Ring,"O-RING, MIL-R-83248",31,"O-RING, MIL-R-83248",,,81349,,2
36_Seal,"SEAL, SHAFT, RPLNG PUMP",36,"SEAL, SHAFT, RPLNG PUMP",,,9F512,,1
"NUT, HEX 1/2-13 UNC SST_32","NUT, HEX 1/2-13 UNC SST",32,"NUT, HEX 1/2-13 UNC SST",,,9F512,,4
"WASHER, LOCK 1/2 IN. STL_33","WASHER, LOCK 1/2 IN. STL",33,"WASHER, LOCK 1/2 IN. STL",,,9F512,,4
"NUT, HEX 1/2-13 UNC SST_34","SCREW, HEX HD CAP 316SST 1/2-13 UNC X 1 3/4 IN. L",34,"SCREW, HEX HD CAP 316SST 1/2-13 UNC X 1 3/4 IN. L",,,9F512,,4
"MOTOR, ELEC AC_35","MOTOR, ELEC AC",35,"MOTOR, ELEC AC",,,50380,,1
