layer_id*,part_name*,part_id*,part_description,purchase_url,nomenclature,mfr_code,nsn_number,quantity
1_O-Ring,O-Ring,1,M83248/1-226 (VITON),,,226-19359,,2
2_O-Ring,O-Ring,2,M83248/120 (VITON),,,120-19659,,2
3_O-Ring,O-Ring,3,M83248/1-112 (VITON),,,112-19359,,2
4_O-Ring,O-Ring,4,M83248/1-114 (VITON),,,114-19359,,2
5_O-Ring,O-Ring,5,M83248/1-110 (VITON),,, 110-19359,,1
6_O-Ring,O-Ring,6,M83248/1-015 (VITON),,,015-19359,,2
7_Connector Fitting (Male Tube to Male Straight Thread),Connector Fitting (Male Tube to Male Straight Thread),7,H859-8-8-SS (CPV),,,,,2
8_O-Ring,O-Ring,8,M83248/1-908 (VITON),,,,,2
9_Hex Head Cap Screw,Hex Head Cap Screw,9,"3/4 - 10 UNC x 2″ L., Gr. 8",,,,,4
10_Extension Shaft,Extension Shaft,10,Extension Shaft,,,,,1
11_Dowel Pin,Dowel Pin,11,Dowel Pin,,,,,1
12_Coupling,Coupling,12,Coupling,,,,,1
13_Hex Head Cap Screw,Hex Head Cap Screw,13,"1/4 - 20 UNC x 1″ L., 316 S. ST.",,,,,6
14_Seal Retainer,Seal Retainer,14,Seal Retainer,,,,,1
15_O-Ring,O-Ring,15,M83248/1-246 (VITON),,,246-19359, 9Z5330-00-165-1964,1
16_Shaft Seal,Shaft Seal,16,Shaft Seal,,,623-12322, 9C4320-00-907-0950,1
17_Shaft Sub Assembly,Shaft Sub Assembly,17,Shaft Sub Assembly,,,,,1
18_Holdown Retaining Ring,Holdown Retaining Ring,18,Holdown Retaining Ring,,,,,1
19_Retaining Ring,Retaining Ring,19,Retaining Ring,,, 833-71641,,1
20_Ball Bearing,Ball Bearing,20,Ball Bearing,,,ND-H-20311,,1
21_Hex Head Cap Screw,Hex Head Cap Screw,21,"3/8 - 16 UNC x 3-1/2″ L., Gr. 8",,,,,18
22_End Cap,End Cap,22,End Cap,,,,,1
23_End Cap Gasket,End Cap Gasket,23,"Vellumoid, 1/32″ Thk.",,,035-42702,9Z5330-00-467-3615,1
24_Elbow,"Elbow (Male, Tube to Straight Thread)",24,H823-8-8-SS (CPV),,,,,1
25_O-Ring,O-Ring,25,M83248/2-908 (VITON),,,908-19359,,1
26_Cup Point Set Screw,Cup Point Set Screw,26,"Nylok, 5/16 - 18 UNC x 3/4″ L., S.S.",,,311-45007,,4
27_Flat Head Socket Screw,Flat Head Socket Screw,27,1/4 - 20 UNC x 1/2″ L.,,,,,6
28_Trunion Cap,Trunion Cap,28,Trunion Cap,,,,,1
29_O-Ring,O-Ring,29,M83248/1-226 (VITON),,, 226-19359,,1
30_Trunnion Bearing,Trunnion Bearing,30,Trunnion Bearing,,, HJ-223016,9Z5380-00-167-5147,4
31_Bearing Spacer,Bearing Spacer,31,Bearing Spacer,,,,,2
32_Trunnion Pin,Trunnion Pin,32,Trunnion Pin,,,,,2
33_Trunnion Pin Key,Trunnion Pin Key,33,Trunnion Pin Key,,,,,2
34_Trunnion Spacer,Trunnion Spacer,34,Trunnion Spacer,,,,,1
35_Trunnion Bearing Spacer,Trunnion Bearing Spacer,35,Trunnion Bearing Spacer,,,,,1
36_Variable Volume Hanger,Variable Volume Hanger,36,Variable Volume Hanger,,,,,1
37_Retaining Ring,Retaining Ring,37,Retaining Ring,,,035-71707,,1
38_Thrust Washer,Thrust Washer,38,Thrust Washer,,,035-71701,,1
39_Bearing Insert,Bearing Insert,39,Bearing Insert,,,035-72223,,1
40_Piston and Shoe Subassembly,Piston and Shoe Subassembly,40,Piston and Shoe Subassembly,,,S25-01183,,1
41_Socket Head Cap Screw,Socket Head Cap Screw,41,"1/4 - 20 UNC x 1-1/2″ L., Gr. 8",,,,,1
42_Wear Plate,Wear Plate,42,Wear Plate,,, 035-71696,,1
43_Shoe Holddown,Shoe Holddown,43,Shoe Holddown,,,035-71700,,1
44_Dowel Pin,Dowel Pin,44,3/8″ Dia. x 3/4″ L.,,,,,1
45_Cylinder Barrel Stop,Cylinder Barrel Stop,45,Cylinder Barrel Stop,,,035-71699,,1
46_Holddown Spring Assembly,Holddown Spring Assembly,46,Holddown Spring Assembly,,, 035-54315,,1
47_Retainer,Retainer,47,Retainer,,,035-42658,,1
48_Button Head Cap Screw,Button Head Cap Screw,48,1/4 - 20 UNC x 1/2″ L.,,,,,2
49_Washer,Washer,49,1/4″ STD,,,,,2
50_Barrel and Bearing Assembly,Barrel and Bearing Assembly,50,Barrel and Bearing Assembly,,,S15-15348,9Z3130-01-159-6173,1
51_Port Plate,Port Plate,51,Port Plate,,,035-42792, 9C4320-01-149-3791,1
52_Socket Head Cap Screw,Socket Head Cap Screw,52,"5/16 - 18 UNC x 4-1/2″ L., Gr. 8",,,,,1
53_Port Block,Port Block,53,Port Block,,,,,1
54_Dowel Pin,Dowel Pin,54,1/4″ Dia. x 1/2″ L.,,,,,1
