layer_id*,part_name*,part_id*,part_description,purchase_url,quantity,nomenclature,mfr_code,nsn_number
2_O-Ring,"O-RING, MIL-R-83248",3,"O-RING, MIL-R-83248",,6,,81349,9Z5330-00-166-0991
4_Elbow,"ELBOW, MALE, TUBE TO STRAIGHT THREAD",4,"ELBOW, MALE, TUBE TO STRAIGHT THREAD",,2,,99565,
5_O-Ring,"O-RING, MIL-R-83248",5,"O-RING, MIL-R-83248",,2,,81349,9Z5330-00-166-0991
14_Screw,"SCREW, HEX HD CAP OR 8 1/2-13 UNC X 1 1/4 IN. L",14,"SCREW, HEX HD CAP OR 8 1/2-13 UNC X 1 1/4 IN. L",,4,,9F512,
15_Washer,"WASHER, FLAT 1/2 316SST",15,"WASHER, FLAT 1/2 316SST",,8,,9F512,
21_Lockwire,LOCKWIRE 1/32 DIA 302304SST,21,LOCKWIRE 1/32 DIA 302304SST,,AR,,9F512,
22_Seal,"SEAL, ABEX LEAD",22,"SEAL, ABEX LEAD",,1,,9F512,
23_Screw,"SCREW, DRILLED HD 316SST 5/16-18 UNC X 1 IN. L",23,"SCREW, DRILLED HD 316SST 5/16-18 UNC X 1 IN. L",,2,,62983,
24_RetainerFan,"RETAINER, FAN",24,"RETAINER, FAN",,1,,9F512,
25_LockWasher,"LOCKWASHER, 5/16 STL",25,"LOCKWASHER, 5/16 STL",,5,,9F512,
26_WasherFlat,"WASHER, FLAT 5/16 SST",26,"WASHER, FLAT 5/16 SST",,4,,9F512,
27_Screw,"SCREW, HEX HD CAP 316SST 5/16-18 UNC X 1 IN. L",27,"SCREW, HEX HD CAP 316SST 5/16-18 UNC X 1 IN. L",,3,,9F512,
28_FanPlastic,"FAN, PLASTIC",28,"FAN, PLASTIC",,1,,3R504,
29_Tubing,"TUBING, SEAMLESS 316SST 1/2 X 0.049 WALL",29,"TUBING, SEAMLESS 316SST 1/2 X 0.049 WALL",,AR,,9F512,
30_TailPiece,"TAILPIECE, FEMALE TUBE",30,"TAILPIECE, FEMALE TUBE",,6,,99565,
30_Ring,"RING, BRAZING",30,"RING, BRAZING",,6,,99565,
30_NutTube,"NUT, TUBE",30,"NUT, TUBE",,6,,99565,
30_Elbow,"ELBOW, MALE TUBE TO STRAIGHT THREAD",30,"ELBOW, MALE TUBE TO STRAIGHT THREAD",,5,,99565,
31_O-Ring,"O-RING, MIL-R-83248",31,"O-RING, MIL-R-83248",,4,,81349,
32_O-Ring,"O-RING, MIL-R-83248",32,"O-RING, MIL-R-83248",,4,,81349,
33_Connector,"CONNECTOR, MALE TUBE TO MALE STRAIGHT THD",33,"CONNECTOR, MALE TUBE TO MALE STRAIGHT THD",,1,,99565,
