layer_id*,part_name*,part_id*,part_description,purchase_url,nomenclature,mfr_code,nsn_number,quantity
1Hex Head Cap Screw,Hex Head Cap Screw,1,"Gr. 8, 1/2 - 13 UNC x 4″ L.",,,,,4
2O-Ring,O-Ring,2,M83248/1-219 (VITON),,,M83248/1-21, 9Z5330-00-166-8406,4
3O-Ring,O-Ring,3,M83248/1-116 (VITON),,,M83248/1-116,,1
4O-Ring,O-Ring,4,M83248/1-012 (VITON),,, M83248/1-012,9Z5330-00-166-0980,4
5Hex Head Cap Screw,Hex Head Cap Screw,5,"Gr. 8, 3/8 - 16 UNC x 1-3/4″ L.",,,,,8
6O-Ring,O-Ring,6,"VITON, 216-19359",,, 216-19359,,4
7O-Ring,O-Ring,7,"VITON, 013-19359",,,013-19359,,8
8Adjusting Screw,Adjusting Screw,8,"S.ST., 5/16 - 24 UNF x 1″ L.",,,,,2
9Jam Hex Nut,Jam Hex Nut,9,"S.ST., 5/16 - 24 UNF",,,333-13011,,2
10Adjusting Plug,Adjusting Plug,10,Adjusting Plug,,,036-21765,9Z5340-01-920-2526,2
11Piston,Piston,11,Piston,,,036-21767,9C4820-00-835-4423,2
12Spring,Compression Spring,12,Compression Spring,,,036-12289,9Z5360-00-664-7385,2
13Cone,Cone,13,Cone,,,036-12288,9C4810-00-457-1744,2
14Half Dog Set Screw,Half Dog Set Screw,14,Half Dog Set Screw,,,,,2
15Spacer,Spacer,15,Spacer,,,036-27548,9Z5340-00-458-7711,2
16Cone Spacer,Cone Spacer,16,Cone Spacer,,,036-11710,,2
17Seat,Seat,17,Seat,,,036-11692,9C4820-00-845-5482,2
18_Hex,Hex Head Cap Screw,18,Gr. 8 3/8-24 UNF x 2-1/4” L.,,,,,8
19Spacer,Spacer,19,Spacer,,,036-71446,9Z5365-01-157-3255,8
20Inner Spring,Inner Spring,20,Inner Spring,,,036-36405,,2
21Outer Spring,Outer Spring,21,Outer Spring,,, 036-36404,,2
22Spool,Spool,22,Spool,,,036-36284,,2
23O-Ring,O-Ring,23,"VITON, 026-19359",,,026-19359,,2
24O-Ring,O-Ring,24,"VITON, 125-19359",,,125-19359,,4
25Sleeve,Sleeve,25,Sleeve,,,036-36283,,2
26Pipe Plug,Pipe Plug,26,1/4-NPTF,,,,,2
27Oriﬁce Plug,Oriﬁce Plug,27,0.0465,,,,,4
28Cap,Cap,28,Cap,,,036-27545,9C4320-01-149-0960,2
29Pipe Plug,Pipe Plug,29,1/8-NPTF,,,,,4
30Roll Pin,Roll Pin,30,1/4” Dia. x 5/8” L.,,,,,2
31Subplate Body,Subplate Body,31,Subplate Body,,,,,2
32Hex,Hex Head Cap Screw,32,Gr. 8 3/8-16 UNC x 4” L.,,,,,4
33Spacer,Spacer,33,Spacer,,,,,4
34O-Ring,O-Ring,34,M83248/1-118 (VITON),,, M83248/1-118,9Z5330-00-166-1072,3
35O-Ring,O-Ring,35,M83248/1-119 (VITON),,,M83248/1-119,,1
36O-Ring,O-Ring,36,M83248/1-013 (VITON),,, M83248/1-013,9Z5330-00-166-0988,2
37Socket Head Cap Screw,Socket Head Cap Screw,37,10-32 UNF x 7/8” L.,,,,,4
38O-Ring,O-Ring,38,M83248/1-012 (VITON),,, M83248/1-012, 9Z5330-00-166-0980,4
39Pipe Plug,Pipe Plug,39,1/16-NPTF,,,,,2
40Top Cover,Top Cover,40,Top Cover,,,,,1
41Socket Head Cap Screw,Socket Head Cap Screw,41,7/16-14UNC x 1-3/4” L.,,,,,8
42End cap,End Cap,42,End Cap,,,,,2
43O-Ring,O-Ring,43,M83248/1-222 (VITON),,, M83248/1-222,9Z5330-00-167-5111,2
44Spring,Spring,44,Spring,,,036-39898,,2
45Washer,Washer,45,Washer,,,,,2
46Spool,Spool,46,Spool,,,,,1
47Screw,Screw,47,Screw,,,,,1
48Roll Ring,Roll Ring,48,Roll Ring,,,,,2
49Valve Body,Valve Body,49,Valve Body,,,,,1
50Oriﬁce Plug,Oriﬁce Plug,50,0.062,,,036-20641,,2
51Pipe Plug,Pipe Plug,51,1/16 - NPTF,,,,,2
52Pipe Plug,Pipe Plug,52,1″ - NPTF,,,,,2
53Straight Thread Plug,Straight Thread Plug,53,7/18-14,,,,,4
54O-Ring,O-Ring,54,M83248/2-910 (VITON),,, M83248/2-910,,4
55Subplate,Subplate,55,Subplate,,,,,1
56Name Plate,Name Plate,56,Name Plate,,,,,1
58Screw,Screw,58,Screw,,,,,
59O-Ring,O-Ring,59,M83248/1-011 (VITON),,,,,2
