layer_id*,part_name*,part_id*,part_description,purchase_url,nomenclature,mfr_code,nsn_number,quantity
1- Hex_Head_Cap_Screw,Hex Head Cap Screw,1,3/8-16UNC x 3” L.,,,,,4
2- Stratosphere,Statoseal,2,3/8” Dia,,,600-3130-.375,,12
3-Oring,O-Ring,3,M83248/1-213 (VITON),,,M83248/1-213, 9Z5330-00-165-1940,6
4-Left_End_Cap,Left End Cap,4,Left End Cap,,,037-71461,9C4320-01-149-1745,3
5-Oring,O-Ring,5,M832478/1-123 (VITON),,,M83248/1-123,9Z5330-00-167-5112,3
6-Venturi Body,Venturi Body,6,Venturi Body,,,,,1
7-Oring,O-Ring,7,M83248/1-122 (VITON),,,M83248/1-122,9Z5330-00-167-5111,3
8-Right_End_Cap,Right End Cap,8,Right End Cap,,,037-71462,9C4320-01-149-1746,3
9- Straight+Thread_Plug,Straight Thread Plug,9,4P50N-SS (Parker-Hanniﬁn,,,,,2
10-Oring,O-Ring,10,M83248/2-904 (VITON,,, M83248/2-904, 9Z5330-00-167-5172,6
11- Name Plate,Name Plate,11,Name Plate,,,,,1
12- Drive Screw,Drive Screw,12,No.4x3/8,,,,,2
