layer_id*,part_name*,part_id*,part_number,purchase_url,nomenclature,mfr_code,nsn_number,quantity
15_HousingRear,"HOUSING, REAR",15,434-629-053,,,1170,,2
16_Nut,NUT,16,415-634-079,,,1170,,
17_Washer,WASHER,17,414-662-105,,,1170,,
18_Retainer,RETAINER,18,434-643-080,,,1170,,
19_Diaphragm,DIAPHRAGM,19,424-600-251,,,1170,,
20_Piston,PISTON,20,434-637-145,,,1170,,
21_Spring,SPRING,21,424-655-173,,,1170,,
22_Washer,WASHER,22,414-662-113,,,1170,,
23_WasherIndicator,"WASHER, INDICATOR",23,414-662-104,,,1170,,
24_ShaftPiston,"SHAFT, PISTON",24,414-646-315,,,1170,,
25_BearingSleeve,"BEARING, SLEEVE",25,413-602-073,,,1170,,
26_HousingFront,"HOUSING, FRONT",26,432-802-010,,,1170,,
"TUBING, SEAMLESS 316SST 1/2 X 0.049 WALL_1","TUBING, SEAMLESS 316SST 1/2 X 0.049 WALL",1,827-00017,,,16954,,
"CONNECTOR, MALE TUBE TO MALE STRAIGHT THD_2","CONNECTOR, MALE TUBE TO MALE STRAIGHT THD",2,H859-8-8-SS,,,99565,,
"O-RING, MIL-R-83248_3","O-RING, MIL-R-83248",3,M83248/l-015,,,81349,,
"O-RING, MIL-R-83248_4","O-RING, MIL-R-83248",4,M83248/2-908,,,81349,,
"ELBOW, MALE TUBE TO STRAIGHT THREAD_5","ELBOW, MALE TUBE TO STRAIGHT THREAD (REPLACE W/INDEX NO. 5A AND INSTL. INDEX NO. 5B)",5,H823-8-8-SS,,,99565,,
"O-RING, MIL-R-83248_6","O-RING, MIL-R-83248",6,M83248/l-015,,,81349,,
"O-RING, MIL-R-83248_7","O-RING, MIL-R-83248",7,M83248/2-908,,,81349,,
"VALVE, AIR BLEED_8","VALVE, AIR BLEED",8,SS-4P-4M,,,18034,,
"SCREW, HEX HD CAP 316SST_9_","SCREW, HEX HD CAP 316SST 3/8-16UNC X 1 1/4 IN. L",9,301-00014,,,16954,,24
"RING, EXPANSION CHAMBER_10","RING, EXPANSION CHAMBER",10,037-72186,,,16954,,1
"SCREW, HEX HD CAP GR_11","SCREW, HEX HD CAP GR 8 3/8-16UNC X 1 1/4 IN. L",11,306-40026,,,16954,,5
"MOUNT, EXPANSION CHAMBER_12","MOUNT, EXPANSION CHAMBER",12,037-71644,,,16954,,
"PLATE, DATA SIZE 25_13","PLATE, DATA SIZE 25",13,037-71650,,,16954,,
