layer_id*,part_name*,part_id*,part_description,purchase_url,nomenclature,mfr_code,nsn_number,quantity
1_Socket Head Cap Screw,Socket Head Cap Screw,1,"3/8-16 UNC x 2-1/4” L., 316 S.ST.",,,,,1
2_O-Ring,O-Ring,2,M83248/1-218 (VITON),,,M83248/1-218,9Z5330-00-166-8405,1
3_O-Ring,O-Ring,3,M83248/1-110 (VITON),,,M83248/1-110, 9Z5330-00-166-1058,1
4_O-Ring,O-Ring,4,M83248/1-112 (VITON),,,M83248/1-112,9Z5330-00-166-1060,1
5_Hex,Hex Head Cap Screw,5,"1/4 - 20 UNC x 2″ L., S.ST.",,,,,4
6_Flow Control Valve,Flow Control Valve,6,Flow Control Valve,,,,,1
7_O-Ring,O-Ring,7,M83248/1-113 (VITON),,,M83248/1-113,,2
8_Hex,Hex Head Cap Screw,8,"3/8 - 16 UNC x 3/4″ L., S.ST.",,,,,2
9_Cap,Cap,9,Cap,,,037-71507,9C4320-01-151-3520,1
10_O-Ring,O-Ring,10,M83248/1-117 (VITON),,,M83248/1-117,9Z5330-00-166-1071,1
11_Hex,Hex Head Cap Screw,11,"5/16 - 24 UNF x 1″ L., S.ST.",,,,,1
12_Jam,Jam Nut,12,"5/16 - 24 UNF, S.ST.",,,,,1
13_Stato,Statoseal,13,5/16” Dia.,,,600-3130-3125,,1
14_Thermal,Thermal Element,14,Thermal Element,,,035-43899,9N5930-00-412-1520,1
15_Plunger,Plunger,15,Plunger,,,035-44218,9C4320-01-151-3518,1
16_Metering,Metering Pin,16,Metering Pin,,, 035-44217,925315-01-149-5979,1
17_Spacer,Spacer,17,Spacer,,,035-43967,925365-01-157-3253,1
18_Spring,Spring,18,Spring,,,035-22020,925360-00-989-5426,1
19_Hex,Hex Head Cap Screw,19,"3/8-16 UNC x 2-1/4” L., S. ST.",,,,,4
20_Body,Power Element Body,20,Power Element Body,,,,,1
21_O-Ring,O-Ring,21,M83248/1-019 (VITON),,, M83248/1-019,9Z5330-00-166-0996,1
22_O-Ring,O-Ring,22,"VITON, 026-19359",,,026-19359,,1
23_O-Ring,O-Ring,23,M83248/1-009 (VITON,,,M83248/1-009,9Z5330-00-166-0968,1
24_Spring,Compression Spring,24,Compression Spring,,,036-27547,925360-00-790-2424,1
25_Spool,Spool,25,Spool,,,S15-45166,,1
26_Sleeve,Sleeve,26,Sleeve,,, 037-75166,9C4730-01-151-3519,1
27_O-Ring,O-Ring,27,(VITON) 125-19359,,, 125-19359,,2
28_Orifice,Oriﬁce,28,0.048,,, 037-71439,9C4820-01-149-5853,1
29_SeatNut,Seat Nut,29,Seat Nut,,,037-72527,9Z5365-01-153-9177,1
30_Seat,Seat,30,Seat,,,037-72528,,1
31_Poppet,Poppet,31,Poppet,,,035-49407,,1
32_Spring,Spring,32,Spring,,,035-49438,,1
33_Spring Guide,Spring Guide,33,Spring Guide,,,035-49439,,1
34_Plug,Plug,34,Plug,,,488-35040,9Z5340-01-148-6668,1
35_O-Ring,O-Ring,35,M83248/2-904 (VITON),,,M83248/2-904,9Z5330-00-167-5172,1
36_PipePlug,Pipe Plug,36,1/16 - NPTF,,,,,1
37_Filter Subplate,Filter Subplate,37,Filter Subplate,,,,,1
3839_Flow,Flow Control Valve and Body,38,Flow Control Valve and Body,,,FXDAXAN9,,1
3839_Flow,Flow Control Valve and Body,39,Flow Control Valve and Body,,,037-53711,,
