layer_id*,part_name*,part_id*,part_description,purchase_url,,purchase_url,nomenclature,mfr_code,nsn_number,quantity
Hex Head Cap Screw1_,Hex Head Cap Screw,1,"3/8 - 16 UNC x 3-3/4″ L., Gr. 8",,,,,,,3
ORing2_,O-Ring,2,M83248/1-111 (VITON),,,,,M83248/1-111,,4
ORing3_,O-Ring,3,M83248/1-129 (VITON),,,,,M83248/1-129,,1
Hex Head Cap Screw4_,Hex Head Cap Screw,4,"3/8 - 16 UNC x 1-3/4″ L., 316 SST",,,,,,,3
Hex Nut5_,Hex Nut,5,"1/2"" -20",,,,,,,4
Statoseal_,Statoseal,6,1/2″ Diameter,,,,,600-3130-.500,9Z5330-00-524-0741,4
Hex Head Cap Screw7_,Hex Head Cap Screw,7,1/4 - 20 UNC x 2-1/4″ L.,,,,,037-71442,,3
Solenoid Valve_,Solenoid Valve,8,Solenoid Valve,,,,,V10L22501 2060,9C4810-01-166-8238,4
Spring Pin9_,Spring Pin,9,1/8″ Dia. x 5/16,,,,,,,8
ORing10_,O-Ring,10,M83248/1-008 (VITON),,,,,M83248/1-008,9Z5330-00-166-0967,8
ORing11_,O-Ring,11,M83248/1-012 (VITON),,,,,M83248/1-012,9Z5330-00-166-0980,4
High Speed Cover12_,High Speed Cover,12,High Speed Cover,,,,,,,1
High Speed Valve Body13_,High Speed Valve Body,13,High Speed Valve Body,,,,,,,1
ORing14_,O-Ring,14,M83248/1-011 (VITON),,,,,M83248/1-011,,5
Oring15_,O-Ring,15,M83248/1-013 (VITON),,,,,M83248/1-013,9Z5330-00-166-0988,1
ORing16_,O-Ring,16,M83248/1-016 (VITON),,,,,M83248/1-016,9Z5330-00-166-0992,1
High Speed Spring17_,High Speed Spring,17,High Speed Spring,,,,,LC-035E-10,,1
Spool18_,Spool,18,Spool,,,,,037-53310,9C4820-01-237-3571,1
ORing19_,O-Ring,19,M83248/1-014 (VITON),,,,,M83248/1-014,,1
Check Valve Body20_,Check Valve Body,20,Check Valve Body,,,,,037-53311,9C4820-01-237-3554,1
Roll Pin21_,Roll Pin,21,1/8″ Dia. x 1/2″,,,,,,,1
Check Valve Ball22_,Check Valve Ball,22,1/4″,,,,,201-08001,9Z3110-00-100-6151,1
Hex Head Cap Screw23_,Hex Head Cap Screw,23,1/4 - 20 UNC x 1-1/2″ L.,,,,,,,4
Flow Control Valve24_,Flow Control Valve,24,Flow Control Valve,,,,,PCMS-400-S,9C4820-01-238-0199,1
Hollow Hex Plug25_,Hollow Hex Plug,25,8HP50N-SS (Parker-Hanniﬁn),,,,,,,1
ORing26_,O-Ring,26,M83248/2-908,,,,,M83248/2-908,9Z5330-00-166-5173,3
Check Valve Seat Nut27_,Check Valve Seat Nut,27,Check Valve Seat Nut,,,,,037-72527,9C4820-01-149-5853,2
Check Valve Seat 28_,Check Valve Seat,28,Check Valve Seat,,,,,037-72528,9Z5365-01-153-9177,2
Poppet29_,Poppet,29,Poppet,,,,,035-49407,9C4320-00-304-3692,2
Spring30_,Spring,30,Spring,,,,,035-49438,9Z5360-01-304-8959,2
Spring Guide31_,Spring Guide,31,Spring Guide,,,,,035-49439,9C4320-00-304-3698,2
Hex Head Cap Screw32_,Hex Head Cap Screw,32,Hex Head Cap Screw,,,,,,,6
Valve Cover33_,Valve Cover,33,Valve Cover,,,,,,,2
ORing34_,O-Ring,34,"VITON, 022-19359",,,,,,,2
Spring35_,Spring,35,Spring,,,,,036-38448,9Z5360-01-148-6657,2
Spool36_,Spool,36,Spool,,,,,036-38466,9C4320-01-151-3542,2
Sleeve37_,Sleeve,37,Sleeve,,,,,036-38442,9C4320-01-149-0961,2
ORing38_,O-Ring,38,"VIT0N, 018-19359",,,,,,,4
Hex Head Cap ScrewB_,Hex Head Cap Screw,39,"3/8 - 16 UNC x 1″ L., 316 SST",,,,,,,1
Hex Head Cap ScrewA_,Hex Head Cap Screw,40,"3/8 - 16 UNC x 1-1/4″ L., 316 SST",,,,,,,2
Clamp,Clamp,41,Clamp,,,,,,,1
PipePlugA_,Pipe Plug,42,3/8 - NPTF,,,,,,,1
SpringA_,Spring,43,Spring,,,,,LC-0636-13,,1
PipePlugB_,Pipe Plug,44,1/16 - NPT’F,,,,,,,35
Spool,Spool,45,Spool,,,,,037-71941,9C4820-01-237-8360,1
Sleeve,Sleeve,46,Sleeve,,,,,037-71945,9C4820-01-237-3569,1
ORing47_,O-Ring,47,M83248/1-117 (VITON),,,,,M83248/1-117,9Z5330-00-166-1071,1
Hex Head Plug48_,Hex Head Plug,48,6P5ON-SS (Parker-Hanniﬁn),,,,,,,1
ORing49_,O-Ring,49,M83248/2-906 (VITON),,,,,M83248/2-906,9Z5330-00-853-2379,2
Spring50_,Spring,50,Spring,,,,,LC-035C-13,9Z5360-01-248-1588,1
Hollow Hex Plug51_,Hollow Hex Plug,51,6HP50N-SS (Parker-Hanniﬁn),,,,,,,1
Auxiliary Pressure Selector_,Auxiliary Pressure Selector,52,Auxiliary Pressure Selector,,,,,037-71936,9C4820-01-237-3570,1
Spool Hex Head Cap Screw53_,Spool Hex Head Cap Screw,53,"1/4 - 20 UNC x 5/8″ L., 316 SST",,,,,,,3
Pipe Plug54_,Pipe Plug,54,1/8 - NPTF,,,,,,,4
ARC Valve Block,ARC Valve Block,55,ARC Valve Block,,,,,037-71946,,1
Straight Thread Plug56_,Straight Thread Plug,56,8P50N-SS (Parker-Hanniﬁn),,,,,,,1
ARC Valve Cover57_,ARC Valve Cover,57,ARC Valve Cover,,,,,037-71942,9Z5340-01-235-6683,1
