layer_id*,part_name*,part_id*,part_description,purchase_url,nomenclature,mfr_code,nsn_number,quantity
MainMotor_,Main Motor,Main Motor,Main Motor,,,,,
Reservoir,Reservoir,Reservoir,Reservoir,,,,,
MainPump,MainPump,MainPump,MainPump,,,,,
NeutralBypass,Neutral Bypass,Neutral Bypass,Neutral Bypass,,,M16-29924,9C4820-01-237-1613,1
Manifold,Manifold,Manifold,Manifold,,,037-72323-D,9C4320-01-151-3516,1
MainSysRelShutt,Main System Relief and Shuttle,Main System Relief and Shuttle,Main System Relief and Shuttle,,,,,
CheckValve,Check Valve,Check Valve,Check Valve,,,M17-43440-D,9C4820-01-158-8178,1
SystemRelValve,System Relief Valve,System Relief Valve,System Relief Valve,,,M16-43464,9C4820-01-158-1504,2
AuxPressRelValve_,Auxillary Pressure Relief Valve,Auxillary Pressure Relief Valve,Auxillary Pressure Relief Valve,,,M17-47728,9C4820-01-153-1401,1
Control_System_pump,Control System Pump,Control System Pump,Control System Pump,,,,,
FanMotorSpeedControl,Fan Motor Speed Control,Fan Motor Speed Control,Fan Motor Speed Control,,, M17-43390, 9C2520-01-151-3547,1
UpperSpeedControlModule,Upper Speed Control Module,Upper Speed Control Module,Upper Speed Control Module,,, M17-43390, 9C2520-01-151-3547,1
LowerSpeedControlModule,Lower Speed Control Module,Lower Speed Control Module,Lower Speed Control Module,,, M17-43390, 9C2520-01-151-3547,1
HPLimiter,HP Limiter,HP Limiter,HP Limiter,,,M17-44641-D, 9C3010-01-224-9785,1
ARCcover,"Used in some variants, covers the area the ARC Valve would go in other variants.",ARC Cover,"Used in some variants, covers the area the ARC Valve would go in other variants.",,,,,
VenturiFlowmeter_,Venturi Flowmeter,Venturi Flowmeter,Venturi Flowmeter,,,,,
HeatXChangeMotorAs_,Heat Exchanger and Motor Assembly,Heat Exchanger and Motor Assembly,Heat Exchanger and Motor Assembly,,,6824,,1
ReplenishingPumpMotorAs_,Replenishing Pump and Motor Assembly,Replenishing Pump and Motor Assembly,Replenishing Pump and Motor Assembly,,,S24-10699,,1
ExpansionChamber_,Expansion Chamber,Expansion Chamber,Expansion Chamber,,, M27-00248,,1
